unix_ts,counter,avg_rate,inst_rate
1345263480,117205.5,0.0,0.0
1345263540,117205.5,0.0,0.0
1345263600,117205.5,0.0,0.0
1345263660,117205.5,0.0,0.0
1345263720,117205.5,0.0,0.0
1345263780,117205.5,0.0,0.0
1345263840,117205.5,0.0,0.0
1345263900,117205.5,0.0,0.0
1345263960,117205.5,0.0,0.0
1345264020,117205.5,0.0,0.0
1345264080,117205.5,0.0,0.0
1345264140,117205.5,0.0,0.0
1345264200,117205.5,0.0,0.0
1345264260,117205.5,0.0,0.0
1345264320,117205.5,0.0,0.0
1345264380,117205.5,0.0,0.0
1345264440,117205.5,0.0,0.0
1345264500,117205.5,0.0,0.0
1345264560,117205.5,0.0,0.0
1345264620,117205.5,0.0,0.0
1345264680,117205.5,0.0,0.0
1345264740,117205.5,0.0,0.0
1345264800,117205.5,0.0,0.0
1345264860,117205.5,0.0,0.0
1345264920,117205.5,0.0,0.0
1345264980,117205.5,0.0,0.0
1345265040,117205.5,0.0,0.0
1345265100,117205.5,0.0,0.0
1345265160,117205.5,0.0,0.0
1345265220,117205.5,0.0,0.0
1345265280,117205.5,0.0,0.0
1345265340,117205.5,0.0,0.0
1345265400,117205.5,0.0,0.0
1345265460,117205.5,0.0,0.0
1345265520,117205.5,0.0,0.0
1345265580,117205.5,0.0,0.0
1345265640,117205.5,0.0,0.0
1345265700,117205.5,0.0,0.0
1345265760,117205.5,0.0,0.0
1345265820,117205.5,0.0,0.0
1345265880,117205.5,0.0,0.0
1345265940,117205.5,0.0,0.0
1345266000,117205.5,0.0,0.0
1345266060,117205.5,0.0,0.0
1345266120,117205.5,0.0,0.0
1345266180,117205.5,0.0,0.0
1345266240,117205.5,0.0,0.0
1345266300,117205.5,0.0,0.0
1345266360,117205.5,0.0,0.0
1345266420,117205.5,0.0,0.0
1345266480,117205.5,0.0,0.0
1345266540,117205.5,0.0,0.0
1345266600,117205.5,0.0,0.0
1345266660,117205.5,0.0,0.0
1345266720,117205.5,0.0,0.0
1345266780,117205.5,0.0,0.0
1345266840,117205.5,0.0,0.0
1345266900,117205.5,0.0,0.0
1345266960,117205.5,0.0,0.0
1345267020,117205.5,0.0,0.0
1345267080,117205.5,0.0,0.0
1345267140,117206.5,1.0,0.0
1345267200,117209.0,2.5,12.0
1345267260,117218.5,9.5,4.615
1345267320,117219.5,1.0,0.0
1345267380,117223.0,3.5,7.5
1345267440,117225.5,2.5,8.571
1345267500,117233.5,8.0,8.571
1345267560,117234.5,1.0,0.0
1345267620,117234.5,0.0,0.0
1345267680,117234.5,0.0,0.0
1345267740,117234.5,0.0,0.0
1345267800,117234.5,0.0,0.0
1345267860,117234.5,0.0,0.0
1345267920,117234.5,0.0,0.0
1345267980,117236.0,1.5,7.5
1345268040,117237.0,1.0,0.0
1345268100,117237.0,0.0,0.0
1345268160,117237.0,0.0,0.0
1345268220,117237.0,0.0,0.0
1345268280,117237.0,0.0,0.0
1345268340,117237.0,0.0,0.0
1345268400,117237.0,0.0,0.0
1345268460,117237.0,0.0,0.0
1345268520,117237.0,0.0,0.0
1345268580,117237.0,0.0,0.0
1345268640,117237.0,0.0,0.0
1345268700,117237.0,0.0,0.0
1345268760,117237.0,0.0,0.0
1345268820,117237.0,0.0,0.0
1345268880,117237.0,0.0,0.0
1345268940,117237.0,0.0,0.0
1345269000,117237.0,0.0,0.0
1345269060,117237.0,0.0,0.0
1345269120,117237.0,0.0,0.0
1345269180,117237.0,0.0,0.0
1345269240,117237.0,0.0,0.0
1345269300,117237.0,0.0,0.0
1345269360,117237.0,0.0,0.0
1345269420,117237.0,0.0,0.0
1345269480,117237.0,0.0,0.0
1345269540,117237.0,0.0,0.0
1345269600,117237.0,0.0,0.0
1345269660,117237.0,0.0,0.0
1345269720,117237.0,0.0,0.0
1345269780,117237.0,0.0,0.0
1345269840,117237.0,0.0,0.0
1345269900,117237.0,0.0,0.0
1345269960,117237.0,0.0,0.0
1345270020,117237.0,0.0,0.0
1345270080,117237.0,0.0,0.0
1345270140,117237.0,0.0,0.0
1345270200,117237.0,0.0,0.0
1345270260,117237.0,0.0,0.0
1345270320,117237.0,0.0,0.0
1345270380,117237.0,0.0,0.0
1345270440,117237.0,0.0,0.0
1345270500,117237.0,0.0,0.0
1345270560,117237.0,0.0,0.0
1345270620,117237.0,0.0,0.0
1345270680,117237.0,0.0,0.0
1345270740,117237.0,0.0,0.0
1345270800,117237.0,0.0,0.0
1345270860,117237.0,0.0,0.0
1345270920,117237.0,0.0,0.0
1345270980,117237.0,0.0,0.0
1345271040,117237.0,0.0,0.0
1345271100,117237.0,0.0,0.0
1345271160,117237.0,0.0,0.0
1345271220,117237.0,0.0,0.0
1345271280,117237.0,0.0,0.0
1345271340,117237.0,0.0,0.0
1345271400,117237.0,0.0,0.0
1345271460,117237.0,0.0,0.0
1345271520,117237.0,0.0,0.0
1345271580,117237.0,0.0,0.0
1345271640,117237.0,0.0,0.0
1345271700,117237.0,0.0,0.0
1345271760,117237.0,0.0,0.0
1345271820,117237.0,0.0,0.0
1345271880,117237.0,0.0,0.0
1345271940,117237.0,0.0,0.0
1345272000,117237.0,0.0,0.0
1345272060,117237.0,0.0,0.0
1345272120,117237.0,0.0,0.0
1345272180,117237.0,0.0,0.0
1345272240,117237.0,0.0,0.0
1345272300,117237.0,0.0,0.0
1345272360,117237.0,0.0,0.0
1345272420,117237.0,0.0,0.0
1345272480,117237.0,0.0,0.0
1345272540,117237.0,0.0,0.0
1345272600,117237.0,0.0,0.0
1345272660,117237.0,0.0,0.0
1345272720,117237.0,0.0,0.0
1345272780,117237.0,0.0,0.0
1345272840,117237.0,0.0,0.0
1345272900,117237.0,0.0,0.0
1345272960,117237.0,0.0,0.0
1345273020,117237.0,0.0,0.0
1345273080,117237.0,0.0,0.0
1345273140,117237.0,0.0,0.0
1345273200,117237.0,0.0,0.0
1345273260,117237.0,0.0,0.0
1345273320,117237.0,0.0,0.0
1345273380,117237.0,0.0,0.0
1345273440,117237.0,0.0,0.0
1345273500,117237.0,0.0,0.0
1345273560,117237.0,0.0,0.0
1345273620,117237.0,0.0,0.0
1345273680,117237.0,0.0,0.0
1345273740,117237.0,0.0,0.0
1345273800,117237.0,0.0,0.0
1345273860,117237.0,0.0,0.0
1345273920,117237.0,0.0,0.0
1345273980,117237.0,0.0,0.0
1345274040,117237.0,0.0,0.0
1345274100,117237.0,0.0,0.0
1345274160,117237.0,0.0,0.0
1345274220,117237.0,0.0,0.0
1345274280,117237.0,0.0,0.0
1345274340,117237.0,0.0,0.0
1345274400,117237.0,0.0,0.0
1345274460,117237.0,0.0,0.0
1345274520,117237.0,0.0,0.0
1345274580,117237.0,0.0,0.0
1345274640,117237.0,0.0,0.0
1345274700,117237.0,0.0,0.0
1345274760,117237.0,0.0,0.0
1345274820,117237.0,0.0,0.0
1345274880,117237.0,0.0,0.0
1345274940,117237.0,0.0,0.0
1345275000,117237.0,0.0,0.0
1345275060,117237.0,0.0,0.0
1345275120,117237.0,0.0,0.0
1345275180,117237.0,0.0,0.0
1345275240,117237.0,0.0,0.0
1345275300,117237.0,0.0,0.0
1345275360,117237.0,0.0,0.0
1345275420,117237.0,0.0,0.0
1345275480,117237.0,0.0,0.0
1345275540,117237.0,0.0,0.0
1345275600,117237.0,0.0,0.0
1345275660,117237.0,0.0,0.0
1345275720,117237.0,0.0,0.0
1345275780,117237.0,0.0,0.0
1345275840,117237.0,0.0,0.0
1345275900,117237.0,0.0,0.0
1345275960,117237.0,0.0,0.0
1345276020,117237.0,0.0,0.0
1345276080,117237.0,0.0,0.0
1345276140,117237.0,0.0,0.0
1345276200,117237.0,0.0,0.0
1345276260,117237.0,0.0,0.0
1345276320,117237.0,0.0,0.0
1345276380,117237.0,0.0,0.0
1345276440,117237.0,0.0,0.0
1345276500,117237.0,0.0,0.0
1345276560,117237.0,0.0,0.0
1345276620,117237.0,0.0,0.0
1345276680,117237.0,0.0,0.0
1345276740,117237.0,0.0,0.0
1345276800,117237.0,0.0,0.0
1345276860,117237.0,0.0,0.0
1345276920,117237.0,0.0,0.0
1345276980,117237.0,0.0,0.0
1345277040,117237.0,0.0,0.0
1345277100,117237.0,0.0,0.0
1345277160,117237.0,0.0,0.0
1345277220,117237.0,0.0,0.0
1345277280,117237.0,0.0,0.0
1345277340,117237.0,0.0,0.0
1345277400,117237.0,0.0,0.0
1345277460,117237.0,0.0,0.0
1345277520,117237.0,0.0,0.0
1345277580,117237.0,0.0,0.0
1345277640,117237.0,0.0,0.0
1345277700,117237.0,0.0,0.0
1345277760,117237.0,0.0,0.0
1345277820,117237.0,0.0,0.0
1345277880,117237.0,0.0,0.0
1345277940,117237.0,0.0,0.0
1345278000,117237.0,0.0,0.0
1345278060,117237.0,0.0,0.0
1345278120,117237.0,0.0,0.0
1345278180,117237.0,0.0,0.0
1345278240,117237.0,0.0,0.0
1345278300,117237.0,0.0,0.0
1345278360,117237.0,0.0,0.0
1345278420,117237.0,0.0,0.0
1345278480,117237.0,0.0,0.0
1345278540,117237.0,0.0,0.0
1345278600,117237.0,0.0,0.0
1345278660,117237.0,0.0,0.0
1345278720,117237.0,0.0,0.0
1345278780,117237.0,0.0,0.0
1345278840,117237.0,0.0,0.0
1345278900,117237.0,0.0,0.0
1345278960,117237.0,0.0,0.0
1345279020,117237.0,0.0,0.0
1345279080,117237.0,0.0,0.0
1345279140,117237.0,0.0,0.0
1345279200,117237.0,0.0,0.0
1345279260,117237.0,0.0,0.0
1345279320,117237.0,0.0,0.0
1345279380,117237.0,0.0,0.0
1345279440,117237.0,0.0,0.0
1345279500,117237.0,0.0,0.0
1345279560,117237.0,0.0,0.0
1345279620,117237.0,0.0,0.0
1345279680,117237.0,0.0,0.0
1345279740,117237.0,0.0,0.0
1345279800,117237.0,0.0,0.0
1345279860,117237.0,0.0,0.0
1345279920,117237.0,0.0,0.0
1345279980,117237.0,0.0,0.0
1345280040,117237.0,0.0,0.0
1345280100,117237.0,0.0,0.0
1345280160,117237.0,0.0,0.0
1345280220,117237.0,0.0,0.0
1345280280,117237.0,0.0,0.0
1345280340,117237.0,0.0,0.0
1345280400,117237.0,0.0,0.0
1345280460,117237.0,0.0,0.0
1345280520,117237.0,0.0,0.0
1345280580,117237.0,0.0,0.0
1345280640,117237.0,0.0,0.0
1345280700,117237.0,0.0,0.0
1345280760,117237.0,0.0,0.0
1345280820,117237.0,0.0,0.0
1345280880,117237.0,0.0,0.0
1345280940,117237.0,0.0,0.0
1345281000,117237.0,0.0,0.0
1345281060,117237.0,0.0,0.0
1345281120,117237.0,0.0,0.0
1345281180,117237.0,0.0,0.0
1345281240,117237.0,0.0,0.0
1345281300,117237.0,0.0,0.0
1345281360,117237.0,0.0,0.0
1345281420,117237.0,0.0,0.0
1345281480,117237.0,0.0,0.0
1345281540,117237.0,0.0,0.0
1345281600,117237.0,0.0,0.0
1345281660,117237.0,0.0,0.0
1345281720,117237.0,0.0,0.0
1345281780,117237.0,0.0,0.0
1345281840,117237.0,0.0,0.0
1345281900,117237.0,0.0,0.0
1345281960,117237.0,0.0,0.0
1345282020,117237.0,0.0,0.0
1345282080,117237.0,0.0,0.0
1345282140,117237.0,0.0,0.0
1345282200,117237.0,0.0,0.0
1345282260,117237.0,0.0,0.0
1345282320,117237.0,0.0,0.0
1345282380,117237.0,0.0,0.0
1345282440,117237.0,0.0,0.0
1345282500,117237.0,0.0,0.0
1345282560,117237.0,0.0,0.0
1345282620,117237.0,0.0,0.0
1345282680,117237.0,0.0,0.0
1345282740,117237.0,0.0,0.0
1345282800,117237.0,0.0,0.0
1345282860,117237.0,0.0,0.0
1345282920,117237.0,0.0,0.0
1345282980,117237.0,0.0,0.0
1345283040,117237.0,0.0,0.0
1345283100,117237.0,0.0,0.0
1345283160,117237.0,0.0,0.0
1345283220,117237.0,0.0,0.0
1345283280,117237.0,0.0,0.0
1345283340,117237.0,0.0,0.0
1345283400,117237.0,0.0,0.0
1345283460,117237.0,0.0,0.0
1345283520,117237.0,0.0,0.0
1345283580,117237.0,0.0,0.0
1345283640,117237.0,0.0,0.0
1345283700,117237.0,0.0,0.0
1345283760,117237.0,0.0,0.0
1345283820,117237.0,0.0,0.0
1345283880,117237.0,0.0,0.0
1345283940,117237.0,0.0,0.0
1345284000,117237.0,0.0,0.0
1345284060,117237.0,0.0,0.0
1345284120,117237.0,0.0,0.0
1345284180,117237.0,0.0,0.0
1345284240,117237.0,0.0,0.0
1345284300,117237.0,0.0,0.0
1345284360,117237.0,0.0,0.0
1345284420,117237.0,0.0,0.0
1345284480,117237.0,0.0,0.0
